SessionIdentity,hour_num,stage,BG_psd,key2_psd,key3_psd,n_epoch
02R_04-27-22,1.0,N1,0.007513091,0.036920615,0.008668353,168
02R_04-27-22,1.0,N2,0.11327993,0.071763955,0.02214733,1206
02R_04-27-22,1.0,N3,0.011075782,0.15845515,0.052522406,34
02R_04-27-22,1.0,REM,0.008512867,0.042940184,0.011808567,288
02R_04-27-22,2.0,N1,0.0045005204,0.02074373,0.007224917,291
02R_04-27-22,2.0,N2,0.0067322436,0.075647056,0.02315607,845
02R_04-27-22,2.0,REM,0.0047859573,0.018642839,0.0065617296,146
02R_04-27-22,3.0,N1,0.0066421335,0.054246593,0.016901417,57
02R_04-27-22,3.0,N2,0.00874149,0.11402889,0.033858262,1296
02R_04-27-22,3.0,N3,0.009682877,0.16433278,0.046789605,415
02R_04-27-22,4.0,N1,0.025626589,0.022801459,0.007669171,130
02R_04-27-22,4.0,N2,0.033331234,0.086128786,0.025297115,1282
02R_04-27-22,4.0,N3,0.012740819,0.2169746,0.07109187,14
02R_04-27-22,4.0,REM,0.00972242,0.038971018,0.010884649,296
02R_04-27-22,5.0,N1,0.011906393,0.029801583,0.008635671,216
02R_04-27-22,5.0,N2,0.010319205,0.10393649,0.03046913,842
02R_04-27-22,5.0,REM,0.13000983,0.046403285,0.01319828,559
02R_04-27-22,6.0,N1,0.0066644982,0.028358888,0.007759948,112
02R_04-27-22,6.0,N2,0.008592271,0.038122896,0.011234174,230
02R_04-27-22,6.0,REM,1.3557514,0.028259708,0.008709303,155
02R_04-28-22,0.0,N1,0.0046856534,0.019387498,0.006373493,276
02R_04-28-22,0.0,N2,0.0054202834,0.061360538,0.019294938,667
02R_04-28-22,0.0,N3,0.0059368955,0.12445753,0.037692625,485
02R_04-28-22,1.0,N1,0.0030779147,0.035882566,0.013126387,42
02R_04-28-22,1.0,N2,0.005438236,0.101262815,0.029335411,838
02R_04-28-22,1.0,N3,0.0063218884,0.14369981,0.043913096,873
02R_04-28-22,2.0,N1,0.002806477,0.033073246,0.009327841,259
02R_04-28-22,2.0,N2,0.16151717,0.081888914,0.024014851,722
02R_04-28-22,2.0,N3,0.08762896,0.15281455,0.04611673,218
02R_04-28-22,2.0,REM,0.0036726969,0.03144054,0.008191414,290
02R_04-28-22,3.0,N1,0.002861342,0.031332035,0.008907063,47
02R_04-28-22,3.0,N2,0.0033092771,0.08620544,0.024458537,250
02R_04-29-22,0.0,N1,0.004672376,0.020319043,0.0069488166,278
02R_04-29-22,0.0,N2,0.09544996,0.09355148,0.02689629,679
02R_04-29-22,0.0,N3,0.005664358,0.15045704,0.041210014,55
02R_04-29-22,1.0,N3,0.5247305,0.16096099,0.04969416,241
02R_04-29-22,2.0,N1,0.0117262425,0.018631468,0.005760333,244
02R_04-29-22,2.0,N2,0.0070138522,0.07035341,0.02003086,480
02R_04-29-22,2.0,REM,0.0051426897,0.021917062,0.0068165627,352
02R_04-29-22,3.0,N1,0.0071442826,0.029908763,0.009078047,55
02R_04-29-22,3.0,N2,0.007920954,0.12567778,0.036131907,875
02R_04-29-22,3.0,N3,0.008773453,0.14616153,0.046782218,57
02R_04-29-22,3.0,REM,0.0060867555,0.039836664,0.010299007,741
02R_04-29-22,4.0,N1,0.005191461,0.030069612,0.0077532255,42
02R_04-29-22,4.0,N2,0.010566871,0.11604324,0.03232246,1561
